dataset,metric,comparison_key,n_paired_recomputed,raw_p,wilcoxon_p,n_paired_frozen,abs_p_diff,n_match
CVC-ColonDB,assd,abloss->both,380,0.4953135721,0.4953135721,380,0,True
CVC-ColonDB,assd,baseline->abloss,380,0.4859160198,0.4859160198,380,0,True
CVC-ColonDB,assd,baseline->both,380,0.6191469034,0.6191469034,380,0,True
CVC-ColonDB,assd,baseline->usr,380,0.1250006738,0.1250006738,380,5.551115123e-17,True
CVC-ColonDB,assd,usr->both,380,0.2253035203,0.2253035203,380,2.775557562e-17,True
CVC-ColonDB,boundary_dice,abloss->both,380,4.912420202e-09,4.912420202e-09,380,8.271806126e-25,True
CVC-ColonDB,boundary_dice,baseline->abloss,380,0.1347509896,0.1347509896,380,2.775557562e-17,True
CVC-ColonDB,boundary_dice,baseline->both,380,0.02525569817,0.02525569817,380,2.775557562e-17,True
CVC-ColonDB,boundary_dice,baseline->usr,380,7.441291966e-08,7.441291966e-08,380,0,True
CVC-ColonDB,boundary_dice,usr->both,380,0.0698701868,0.0698701868,380,0,True
CVC-ColonDB,dice,abloss->both,380,0.004387399043,0.004387399043,380,2.602085214e-17,True
CVC-ColonDB,dice,baseline->abloss,380,0.004658464544,0.004658464544,380,7.459310947e-17,True
CVC-ColonDB,dice,baseline->both,380,0.004584373171,0.004584373171,380,1.474514955e-17,True
CVC-ColonDB,dice,baseline->usr,380,0.005859689022,0.005859689022,380,4.250072516e-17,True
CVC-ColonDB,dice,usr->both,380,0.04406813947,0.04406813947,380,5.551115123e-17,True
CVC-ColonDB,hd95,abloss->both,380,0.5291046115,0.5291046115,380,0,True
CVC-ColonDB,hd95,baseline->abloss,380,0.1472875853,0.1472875853,380,2.775557562e-17,True
CVC-ColonDB,hd95,baseline->both,380,0.09291876402,0.09291876402,380,6.938893904e-17,True
CVC-ColonDB,hd95,baseline->usr,380,0.2263750427,0.2263750427,380,8.326672685e-17,True
CVC-ColonDB,hd95,usr->both,380,0.320707248,0.320707248,380,0,True
