family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,CVC-300,recall,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,0.001635411449,0.0004290251073,0.1450394743,0.2207122434,False,False,False,False,False
all7,CVC-300,recall,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.001370648817,0.0002850174816,0.1809254094,0.2638495554,False,False,False,False,False
all7,CVC-300,recall,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,-0.0002125822702,0,0.06754708525,0.1194014133,False,False,False,False,False
all7,CVC-300,recall,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,-0.0002647626321,0,0.1058774741,0.1747480898,False,False,False,False,False
all7,CVC-300,recall,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,0.001583231087,0.0002675183543,0.1409871262,0.2183428946,False,False,False,False,False
all7,CVC-ClinicDB,assd,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,-0.4516980999,0.09855894347,0.6211079866,0.6923178194,False,False,False,False,False
all7,CVC-ClinicDB,assd,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,-0.3065880556,0.1037154014,0.6714418946,0.7390083746,False,False,False,False,False
all7,CVC-ClinicDB,assd,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,62,0.1189278087,0.03208321074,0.2374574316,0.3324404042,False,False,False,False,False
all7,CVC-ClinicDB,assd,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,62,0.1451100443,-0.02694055695,0.3177569483,0.4244844729,False,False,False,False,False
all7,CVC-ClinicDB,assd,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,62,-0.4255158643,-0.08439735804,0.3010738593,0.4052917337,False,False,False,False,False
all7,CVC-ClinicDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,62,-0.01039713964,4.971717714e-13,0.586883224,0.6669127546,False,False,False,False,False
all7,CVC-ClinicDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,62,-0.00631462309,2.715049363e-12,0.9413157267,0.9521979894,False,False,False,False,False
